state,county,med_prop_tax_paid,med_housing_value,prop_tax_rate
Florida,Putnam County,1249,160300.0,0.64
Florida,St. Johns County,3721,489200.0,0.75
Florida,St. Lucie County,3241,347300.0,0.95
Florida,Santa Rosa County,1891,329800.0,0.6
Florida,Sarasota County,3106,411800.0,0.72
Florida,Seminole County,2599,386900.0,0.7
Florida,Sumter County,3014,385400.0,0.74
Florida,Suwannee County,1213,171600.0,0.67
Florida,Taylor County,750,114600.0,0.65
Florida,Union County,980,169500.0,0.53
Florida,Volusia County,2395,313000.0,0.78
Florida,Wakulla County,1642,258300.0,0.69
Florida,Walton County,1902,425100.0,0.49
Florida,Washington County,792,171000.0,0.46
Georgia,Appling County,721,76700.0,0.65
Georgia,Atkinson County,625,79000.0,0.78
Georgia,Bacon County,1144,101400.0,0.89
Georgia,Baker County,1023,119500.0,0.8
Georgia,Baldwin County,1276,181900.0,0.6
Georgia,Banks County,1663,278100.0,0.6
Georgia,Barrow County,2307,294700.0,0.8
Georgia,Bartow County,2024,289000.0,0.69
Georgia,Ben Hill County,1210,112700.0,0.9
Georgia,Berrien County,1130,131600.0,0.74
Georgia,Bibb County,1801,174500.0,0.98
Georgia,Bleckley County,1423,149600.0,0.96
Georgia,Brantley County,1185,99600.0,0.96
Georgia,Brooks County,1583,139200.0,0.88
Georgia,Bryan County,2677,343200.0,0.77
Georgia,Bulloch County,1679,222500.0,0.64
Georgia,Burke County,1025,151600.0,0.52
Georgia,Butts County,1976,240600.0,0.83
Georgia,Calhoun County,903,81000.0,0.76
Georgia,Camden County,2305,261400.0,0.82
Georgia,Candler County,1721,159200.0,0.96
Georgia,Carroll County,1566,255100.0,0.63
Georgia,Catoosa County,1566,240900.0,0.62
Georgia,Charlton County,1088,142800.0,0.66
Georgia,Chatham County,2541,302700.0,0.81
Georgia,Chattahoochee County,856,102700.0,0.67
Georgia,Chattooga County,1022,115600.0,0.71
Georgia,Cherokee County,2985,435100.0,0.69
Georgia,Clarke County,2610,298900.0,0.86
Georgia,Clay County,937,94400.0,1.0
Georgia,Clayton County,1933,222300.0,0.85
Georgia,Clinch County,1101,84400.0,1.07
Georgia,Cobb County,2720,407200.0,0.69
Georgia,Coffee County,976,128900.0,0.6
Georgia,Colquitt County,1014,121400.0,0.76
Georgia,Columbia County,2515,305300.0,0.82
Georgia,Cook County,1221,157500.0,0.74
Georgia,Coweta County,2624,357500.0,0.7
Georgia,Crawford County,1421,164100.0,0.84
Georgia,Crisp County,1510,140200.0,0.94
Georgia,Dade County,1133,198500.0,0.56
Georgia,Dawson County,2430,406700.0,0.61
Georgia,Decatur County,1514,158800.0,0.94
Georgia,DeKalb County,3310,357800.0,0.93
Georgia,Dodge County,1030,118100.0,0.73
Georgia,Dooly County,1368,107400.0,0.95
Georgia,Dougherty County,1781,134400.0,1.2
Georgia,Douglas County,2212,296900.0,0.8
Georgia,Early County,1081,131300.0,0.77
Georgia,Echols County,1127,124100.0,0.8
Georgia,Effingham County,2495,276000.0,0.89
Georgia,Elbert County,1298,142000.0,0.78
Georgia,Emanuel County,884,94700.0,0.78
Georgia,Evans County,1405,138200.0,0.94
Georgia,Fannin County,1021,306600.0,0.4
Georgia,Fayette County,3285,436400.0,0.78
Georgia,Floyd County,1847,217900.0,0.92
Georgia,Forsyth County,4020,550400.0,0.69
Georgia,Franklin County,1288,179000.0,0.65
Georgia,Fulton County,4033,458800.0,0.89
Georgia,Gilmer County,1109,314000.0,0.41
Georgia,Glascock County,1273,123800.0,0.81
Georgia,Glynn County,1708,301300.0,0.52
Georgia,Gordon County,1537,222900.0,0.66
Georgia,Grady County,1386,152400.0,0.92
Georgia,Greene County,2425,394800.0,0.55
Georgia,Gwinnett County,3617,380900.0,0.93
Georgia,Habersham County,1403,238300.0,0.57
Georgia,Hall County,2571,350400.0,0.69
Georgia,Hancock County,967,88600.0,0.94
Georgia,Haralson County,1823,227500.0,0.69
Georgia,Harris County,2578,302800.0,0.8
Georgia,Hart County,1209,215100.0,0.52
Georgia,Heard County,1049,186800.0,0.51
Georgia,Henry County,2741,313900.0,0.89
Georgia,Houston County,1835,219800.0,0.83
Georgia,Irwin County,1132,105600.0,0.76
Georgia,Jackson County,3000,345000.0,0.79
Georgia,Jasper County,1959,243400.0,0.81
Georgia,Jeff Davis County,1093,118300.0,0.65
Georgia,Jefferson County,1009,105400.0,0.89
Georgia,Jenkins County,797,92900.0,0.82
Georgia,Johnson County,889,94900.0,0.81
Georgia,Jones County,1878,194500.0,0.96
Georgia,Lamar County,1864,216500.0,0.93
Georgia,Lanier County,1615,162300.0,0.87
Georgia,Laurens County,1021,154500.0,0.53
Georgia,Lee County,2250,231800.0,0.93
Georgia,Liberty County,2087,201500.0,0.93
Georgia,Lincoln County,1643,165900.0,0.8
Georgia,Long County,1903,218300.0,0.71
Georgia,Lowndes County,1750,215600.0,0.76
Georgia,Lumpkin County,1989,307900.0,0.64
Georgia,McDuffie County,1391,170200.0,0.77
Georgia,McIntosh County,1462,182700.0,0.73
Georgia,Macon County,954,97300.0,1.11
Georgia,Madison County,1677,219700.0,0.74
Georgia,Marion County,1090,154100.0,0.64
Georgia,Meriwether County,1445,168800.0,0.81
Georgia,Miller County,1595,124000.0,1.15
Georgia,Mitchell County,1402,106000.0,1.08
Georgia,Monroe County,1886,271200.0,0.73
Georgia,Montgomery County,1204,115500.0,0.81
Georgia,Morgan County,2425,342300.0,0.72
Georgia,Murray County,1225,180700.0,0.43
Georgia,Muscogee County,1660,193900.0,0.85
Georgia,Newton County,2348,265000.0,0.85
Georgia,Oconee County,3222,461600.0,0.67
Georgia,Oglethorpe County,1733,231600.0,0.68
Georgia,Paulding County,2619,326300.0,0.82
Georgia,Peach County,2117,207800.0,0.78
Georgia,Pickens County,1990,332700.0,0.58
Georgia,Pierce County,1266,153300.0,0.77
Georgia,Pike County,2668,305600.0,0.84
Georgia,Polk County,1413,187600.0,0.73
Georgia,Pulaski County,1463,157600.0,0.91
Georgia,Putnam County,1698,249300.0,0.63
Georgia,Quitman County,n.a.,104600.0,0.73
Georgia,Rabun County,1651,295200.0,0.49
Georgia,Randolph County,964,90200.0,0.95
Georgia,Richmond County,1508,178500.0,0.85
Georgia,Rockdale County,2074,292900.0,0.71
Georgia,Schley County,1288,143900.0,0.91
Georgia,Screven County,1519,124300.0,0.94
Georgia,Seminole County,1486,121900.0,0.99
Georgia,Spalding County,2142,228700.0,0.89
Georgia,Stephens County,1424,175300.0,0.71
Georgia,Stewart County,994,65100.0,0.93
Georgia,Sumter County,1502,120200.0,1.04
Georgia,Talbot County,1356,117100.0,0.83
Georgia,Taliaferro County,902,68900.0,0.8
Georgia,Tattnall County,1260,140000.0,0.67
Georgia,Taylor County,838,87700.0,0.75
Georgia,Telfair County,1269,113300.0,0.7
Georgia,Terrell County,1227,118400.0,0.97
Georgia,Thomas County,1539,196700.0,0.84
Georgia,Tift County,1419,165200.0,0.86
Georgia,Toombs County,1235,137000.0,0.82
Georgia,Towns County,1084,316100.0,0.35
Georgia,Treutlen County,708,100100.0,0.66
Georgia,Troup County,2024,217200.0,0.87
Georgia,Turner County,1026,97300.0,0.92
Georgia,Twiggs County,807,111300.0,0.35
Georgia,Union County,1611,307400.0,0.45
Georgia,Upson County,1433,168700.0,0.81
Georgia,Walker County,1479,197100.0,0.86
Georgia,Walton County,2563,339500.0,0.72
Georgia,Ware County,1047,109500.0,0.85
Georgia,Warren County,730,67100.0,0.78
Georgia,Washington County,1127,112500.0,0.85
Georgia,Wayne County,1265,162800.0,0.75
Georgia,Webster County,925,82600.0,0.77
Georgia,Wheeler County,554,88200.0,0.84
Georgia,White County,1800,278900.0,0.62
Georgia,Whitfield County,1391,218000.0,0.64
Georgia,Wilcox County,795,87600.0,0.94
Georgia,Wilkes County,1292,122700.0,0.87
Georgia,Wilkinson County,775,86300.0,0.87
Georgia,Worth County,1185,104900.0,0.98
Hawaii,Hawaii County,1459,519300.0,0.35
Hawaii,Honolulu County,2553,897500.0,0.31
Hawaii,Kalawao County,n.a.,,
Hawaii,Kauai County,1866,873200.0,0.25
Hawaii,Maui County,1466,904700.0,0.22
Idaho,Ada County,2655,512300.0,0.53
Idaho,Adams County,1359,376500.0,0.34
Idaho,Bannock County,1920,300700.0,0.67
Idaho,Bear Lake County,1116,275000.0,0.41
Idaho,Benewah County,1443,293500.0,0.43
Idaho,Bingham County,1477,293300.0,0.5
Idaho,Blaine County,2778,735300.0,0.38
Idaho,Boise County,1611,476100.0,0.38
Idaho,Bonner County,1847,487900.0,0.4
Idaho,Bonneville County,1858,368800.0,0.53
Idaho,Boundary County,1595,410500.0,0.33
Idaho,Butte County,1061,217600.0,0.53
Idaho,Camas County,1132,304000.0,0.35
Idaho,Canyon County,2011,390000.0,0.5
Idaho,Caribou County,1341,241500.0,0.53
Idaho,Cassia County,1166,284600.0,0.4
Idaho,Clark County,713,216900.0,0.31
Idaho,Clearwater County,1443,268200.0,0.51
Idaho,Custer County,1112,381700.0,0.42
Idaho,Elmore County,1701,316500.0,0.6
Idaho,Franklin County,1482,372600.0,0.38
Idaho,Fremont County,1398,314200.0,0.39
Idaho,Gem County,1418,428700.0,0.32
Idaho,Gooding County,1279,250900.0,0.43
Idaho,Idaho County,995,310200.0,0.32
Idaho,Jefferson County,1824,408400.0,0.47
Idaho,Jerome County,1725,271800.0,0.62
Idaho,Kootenai County,2267,518700.0,0.41
Idaho,Latah County,2368,368600.0,0.59
Idaho,Lemhi County,1156,326100.0,0.32
Idaho,Lewis County,1341,225300.0,0.55
Idaho,Lincoln County,1092,255600.0,0.42
Idaho,Madison County,2001,414800.0,0.54
Idaho,Minidoka County,1261,262600.0,0.51
Idaho,Nez Perce County,2609,334700.0,0.75
Idaho,Oneida County,1207,272000.0,0.46
Idaho,Owyhee County,1432,359800.0,0.39
Idaho,Payette County,1357,341800.0,0.45
Idaho,Power County,1496,212900.0,0.62
Idaho,Shoshone County,1334,267400.0,0.54
Idaho,Teton County,2143,690500.0,0.35
Idaho,Twin Falls County,2066,337900.0,0.61
Idaho,Valley County,1964,657000.0,0.34
Idaho,Washington County,1371,278100.0,0.47
Illinois,Adams County,2573,162600.0,1.52
Illinois,Alexander County,1084,59800.0,1.17
Illinois,Bond County,2747,145700.0,1.78
Illinois,Boone County,4735,216900.0,1.99
Illinois,Brown County,2291,150300.0,1.34
Illinois,Bureau County,2548,126900.0,1.7
Illinois,Calhoun County,2644,190900.0,1.08
Illinois,Carroll County,2277,114500.0,1.75
Illinois,Cass County,1958,97100.0,1.55
