,zpid,address,price,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,is_featured,street_add,city,state_zipcode,state_code,zipcode,state_name
1772,41749396,"115 Kawatuska Way, Loudon, TN 37774",785000,5.0,4.0,3954.0,35.687862,-84.25948,House for sale,SINGLE_FAMILY,23,,https://www.zillow.com/homedetails/115-Kawatuska-Way-Loudon-TN-37774/41749396_zpid/,False,False,115 Kawatuska Way,Loudon,TN 37774,TN,37774,Tennessee
1773,41357185,"979 Highway 92, Rutledge, TN 37861",350000,2.0,1.0,970.0,36.258816,-83.525375,House for sale,SINGLE_FAMILY,113,,https://www.zillow.com/homedetails/979-Highway-92-Rutledge-TN-37861/41357185_zpid/,False,False,979 Highway 92,Rutledge,TN 37861,TN,37861,Tennessee
1774,123499144,"4228 Stone Hall Blvd, Hermitage, TN 37076",725000,4.0,4.0,3145.0,36.192776,-86.63799,Coming soon,SINGLE_FAMILY,6,,https://www.zillow.com/homedetails/4228-Stone-Hall-Blvd-Hermitage-TN-37076/123499144_zpid/,False,False,4228 Stone Hall Blvd,Hermitage,TN 37076,TN,37076,Tennessee
1775,81050873,"171 Wrenwood Way, Greenback, TN 37742",915000,5.0,6.0,4724.0,35.64736,-84.12218,House for sale,SINGLE_FAMILY,9,,https://www.zillow.com/homedetails/171-Wrenwood-Way-Greenback-TN-37742/81050873_zpid/,False,False,171 Wrenwood Way,Greenback,TN 37742,TN,37742,Tennessee
1776,42442216,"1037 Watauga St, Kingsport, TN 37660",347500,4.0,2.0,2420.0,36.548397,-82.54788,House for sale,SINGLE_FAMILY,3,335400.0,https://www.zillow.com/homedetails/1037-Watauga-St-Kingsport-TN-37660/42442216_zpid/,True,False,1037 Watauga St,Kingsport,TN 37660,TN,37660,Tennessee
1777,42363099,"8378 Drury Ln, Germantown, TN 38139",625000,4.0,3.0,3628.0,35.081387,-89.78329,House for sale,SINGLE_FAMILY,1,603300.0,https://www.zillow.com/homedetails/8378-Drury-Ln-Germantown-TN-38139/42363099_zpid/,True,False,8378 Drury Ln,Germantown,TN 38139,TN,38139,Tennessee
1778,41683385,"5604 W Martin Mill Pike, Knoxville, TN 37920",289900,2.0,2.0,1176.0,35.91348,-83.90093,House for sale,SINGLE_FAMILY,8,,https://www.zillow.com/homedetails/5604-W-Martin-Mill-Pike-Knoxville-TN-37920/41683385_zpid/,False,False,5604 W Martin Mill Pike,Knoxville,TN 37920,TN,37920,Tennessee
1779,41897926,"124 Lindsey Cemetery Rd, Madisonville, TN 37354",992500,2.0,2.0,5062.0,35.521835,-84.22321,House for sale,SINGLE_FAMILY,12,,https://www.zillow.com/homedetails/124-Lindsey-Cemetery-Rd-Madisonville-TN-37354/41897926_zpid/,False,False,124 Lindsey Cemetery Rd,Madisonville,TN 37354,TN,37354,Tennessee
1780,70293842,"1363 Standing Stone Cir, Columbia, TN 38401",659900,4.0,3.0,2749.0,35.617985,-86.959885,House for sale,SINGLE_FAMILY,5,,https://www.zillow.com/homedetails/1363-Standing-Stone-Cir-Columbia-TN-38401/70293842_zpid/,False,False,1363 Standing Stone Cir,Columbia,TN 38401,TN,38401,Tennessee
1781,41873062,"3650 River Rd, Decatur, TN 37322",1,3.0,2.0,2541.0,35.560955,-84.781715,Auction,SINGLE_FAMILY,2,,https://www.zillow.com/homedetails/3650-River-Rd-Decatur-TN-37322/41873062_zpid/,False,False,3650 River Rd,Decatur,TN 37322,TN,37322,Tennessee
1782,41482321,"1540 Kidwell Ridge Rd, Morristown, TN 37814",425000,4.0,3.0,2872.0,36.210957,-83.37235,House for sale,SINGLE_FAMILY,166,,https://www.zillow.com/homedetails/1540-Kidwell-Ridge-Rd-Morristown-TN-37814/41482321_zpid/,False,False,1540 Kidwell Ridge Rd,Morristown,TN 37814,TN,37814,Tennessee
1783,41948848,"4115 Perry Hill Church Rd, Columbia, TN 38401",762000,4.0,3.0,2396.0,35.499725,-87.07154,House for sale,SINGLE_FAMILY,8,,https://www.zillow.com/homedetails/4115-Perry-Hill-Church-Rd-Columbia-TN-38401/41948848_zpid/,False,False,4115 Perry Hill Church Rd,Columbia,TN 38401,TN,38401,Tennessee
1784,41681664,"5127 Rebecca Ln, Knoxville, TN 37920",425000,3.0,2.0,1552.0,35.929703,-83.886,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/5127-Rebecca-Ln-Knoxville-TN-37920/41681664_zpid/,False,False,5127 Rebecca Ln,Knoxville,TN 37920,TN,37920,Tennessee
1785,40867958,"1332 Parker Ave SW, Cleveland, TN 37311",235000,3.0,1.0,1227.0,35.152542,-84.89052,House for sale,SINGLE_FAMILY,5,200600.0,https://www.zillow.com/homedetails/1332-Parker-Ave-SW-Cleveland-TN-37311/40867958_zpid/,False,False,1332 Parker Ave SW,Cleveland,TN 37311,TN,37311,Tennessee
1786,67418524,"9328 Ivywood Ln, Knoxville, TN 37931",589000,4.0,3.0,2500.0,35.947872,-84.09914,Coming soon,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/9328-Ivywood-Ln-Knoxville-TN-37931/67418524_zpid/,True,False,9328 Ivywood Ln,Knoxville,TN 37931,TN,37931,Tennessee
1787,331407794,"3436 Caroline Farms Dr, Murfreesboro, TN 37129",489900,4.0,3.0,2368.0,35.913445,-86.39814,House for sale,SINGLE_FAMILY,5,,https://www.zillow.com/homedetails/3436-Caroline-Farms-Dr-Murfreesboro-TN-37129/331407794_zpid/,False,False,3436 Caroline Farms Dr,Murfreesboro,TN 37129,TN,37129,Tennessee
1788,42076327,"791 Pleasant Run Rd, Smyrna, TN 37167",484900,3.0,3.0,2757.0,35.913403,-86.52618,Coming soon,SINGLE_FAMILY,5,,https://www.zillow.com/homedetails/791-Pleasant-Run-Rd-Smyrna-TN-37167/42076327_zpid/,False,False,791 Pleasant Run Rd,Smyrna,TN 37167,TN,37167,Tennessee
1789,41851895,"432 Rivermont Dr, Clarksville, TN 37043",380000,3.0,3.0,2086.0,36.53174,-87.280334,House for sale,SINGLE_FAMILY,3,,https://www.zillow.com/homedetails/432-Rivermont-Dr-Clarksville-TN-37043/41851895_zpid/,False,False,432 Rivermont Dr,Clarksville,TN 37043,TN,37043,Tennessee
1790,68975170,"121 Savo Bay, Hendersonville, TN 37075",464900,3.0,2.0,2001.0,36.296585,-86.64093,House for sale,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/121-Savo-Bay-Hendersonville-TN-37075/68975170_zpid/,False,False,121 Savo Bay,Hendersonville,TN 37075,TN,37075,Tennessee
1791,42622629,"7144 Carter Rd, Fairview, TN 37062",1150000,3.0,2.0,2951.0,35.972656,-87.087776,House for sale,SINGLE_FAMILY,2,,https://www.zillow.com/homedetails/7144-Carter-Rd-Fairview-TN-37062/42622629_zpid/,False,False,7144 Carter Rd,Fairview,TN 37062,TN,37062,Tennessee
1792,41763061,"960 Knob Creek Rd, Lawrenceburg, TN 38464",345000,3.0,2.0,2093.0,35.19542,-87.44429,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/960-Knob-Creek-Rd-Lawrenceburg-TN-38464/41763061_zpid/,False,False,960 Knob Creek Rd,Lawrenceburg,TN 38464,TN,38464,Tennessee
1793,41192102,"5520 Cherrywood Dr, Brentwood, TN 37027",950000,5.0,3.0,4125.0,36.04799,-86.79377,Coming soon,SINGLE_FAMILY,3,,https://www.zillow.com/homedetails/5520-Cherrywood-Dr-Brentwood-TN-37027/41192102_zpid/,False,False,5520 Cherrywood Dr,Brentwood,TN 37027,TN,37027,Tennessee
1794,41931393,"3237 Williamsport Pike, Williamsport, TN 38487",549900,3.0,3.0,2112.0,35.673897,-87.19975,House for sale,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/3237-Williamsport-Pike-Williamsport-TN-38487/41931393_zpid/,False,False,3237 Williamsport Pike,Williamsport,TN 38487,TN,38487,Tennessee
1795,247619468,"3530 Bailey Rd, Franklin, TN 37064",19995000,3.0,3.0,3030.0,35.87314,-86.97172,House for sale,SINGLE_FAMILY,163,,https://www.zillow.com/homedetails/3530-Bailey-Rd-Franklin-TN-37064/247619468_zpid/,False,False,3530 Bailey Rd,Franklin,TN 37064,TN,37064,Tennessee
1796,41112756,"5805 Couch Dr, Nashville, TN 37209",325000,2.0,1.0,781.0,36.158943,-86.85993,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/5805-Couch-Dr-Nashville-TN-37209/41112756_zpid/,False,False,5805 Couch Dr,Nashville,TN 37209,TN,37209,Tennessee
1797,192119958,"9870 Haven Port Ln, Ooltewah, TN 37363",517500,4.0,3.0,3111.0,35.005257,-85.08846,Coming soon,SINGLE_FAMILY,1,618900.0,https://www.zillow.com/homedetails/9870-Haven-Port-Ln-Ooltewah-TN-37363/192119958_zpid/,False,False,9870 Haven Port Ln,Ooltewah,TN 37363,TN,37363,Tennessee
1798,42080811,"507 Kings Ridge Dr, Murfreesboro, TN 37129",550000,3.0,3.0,2800.0,35.90631,-86.38799,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/507-Kings-Ridge-Dr-Murfreesboro-TN-37129/42080811_zpid/,False,False,507 Kings Ridge Dr,Murfreesboro,TN 37129,TN,37129,Tennessee
1799,81120640,"798 Monument Rd, Summertown, TN 38483",315000,3.0,2.0,1498.0,35.437553,-87.28799,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/798-Monument-Rd-Summertown-TN-38483/81120640_zpid/,False,False,798 Monument Rd,Summertown,TN 38483,TN,38483,Tennessee
1801,41596052,"7908 Debra Dr, Knoxville, TN 37938",550000,3.0,3.0,2540.0,36.078045,-83.973404,House for sale,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/7908-Debra-Dr-Knoxville-TN-37938/41596052_zpid/,False,False,7908 Debra Dr,Knoxville,TN 37938,TN,37938,Tennessee
1802,443242123,"2408 Nabali Way, Murfreesboro, TN 37127",236950,5.0,3.0,2320.0,35.805115,-86.33248,New construction,SINGLE_FAMILY,29,,https://www.zillow.com/homedetails/2408-Nabali-Way-Murfreesboro-TN-37127/443242123_zpid/,False,False,2408 Nabali Way,Murfreesboro,TN 37127,TN,37127,Tennessee
1803,40824090,"1212 Woodlawn Ave, Maryville, TN 37804",244900,3.0,2.0,1891.0,35.76369,-83.959656,House for sale,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/1212-Woodlawn-Ave-Maryville-TN-37804/40824090_zpid/,False,False,1212 Woodlawn Ave,Maryville,TN 37804,TN,37804,Tennessee
1804,119901705,"317 Sarava Ln, Smyrna, TN 37167",454900,3.0,3.0,2276.0,35.927753,-86.54616,House for sale,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/317-Sarava-Ln-Smyrna-TN-37167/119901705_zpid/,False,False,317 Sarava Ln,Smyrna,TN 37167,TN,37167,Tennessee
1805,352519715,"440 Kinslow Ct, Clarksville, TN 37040",344900,4.0,3.0,2064.0,36.610783,-87.31077,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/440-Kinslow-Ct-Clarksville-TN-37040/352519715_zpid/,False,False,440 Kinslow Ct,Clarksville,TN 37040,TN,37040,Tennessee
1806,41391056,"5745 Antonio Ln, Hixson, TN 37343",309000,3.0,2.0,2050.0,35.15655,-85.25221,House for sale,SINGLE_FAMILY,2,299900.0,https://www.zillow.com/homedetails/5745-Antonio-Ln-Hixson-TN-37343/41391056_zpid/,False,False,5745 Antonio Ln,Hixson,TN 37343,TN,37343,Tennessee
1807,346518585,"1656 Dibrell Lucky Rd, McMinnville, TN 37110",939000,4.0,2.0,3717.0,35.79821,-85.820145,New construction,SINGLE_FAMILY,23,,https://www.zillow.com/homedetails/1656-Dibrell-Lucky-Rd-McMinnville-TN-37110/346518585_zpid/,False,False,1656 Dibrell Lucky Rd,McMinnville,TN 37110,TN,37110,Tennessee
1808,41023127,"478 Lee Dr, Crossville, TN 38555",240000,3.0,2.0,1296.0,35.920788,-85.05619,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/478-Lee-Dr-Crossville-TN-38555/41023127_zpid/,False,False,478 Lee Dr,Crossville,TN 38555,TN,38555,Tennessee
1809,455159669,"1429 Kingbird Dr, Clarksville, TN 37040",449900,4.0,3.0,2747.0,36.634945,-87.30116,House for sale,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/1429-Kingbird-Dr-Clarksville-TN-37040/455159669_zpid/,False,False,1429 Kingbird Dr,Clarksville,TN 37040,TN,37040,Tennessee
1810,110218994,"3275 Tunnel Hill Rd SW, Cleveland, TN 37311",775000,3.0,4.0,1813.0,35.03608,-84.965866,House for sale,SINGLE_FAMILY,2,742300.0,https://www.zillow.com/homedetails/3275-Tunnel-Hill-Rd-SW-Cleveland-TN-37311/110218994_zpid/,False,False,3275 Tunnel Hill Rd SW,Cleveland,TN 37311,TN,37311,Tennessee
1811,60279025,"1015 Ruff Grouse Way, Seymour, TN 37865",254000,3.0,1.0,1188.0,35.815315,-83.68351,House for sale,SINGLE_FAMILY,177,,https://www.zillow.com/homedetails/1015-Ruff-Grouse-Way-Seymour-TN-37865/60279025_zpid/,False,False,1015 Ruff Grouse Way,Seymour,TN 37865,TN,37865,Tennessee
1812,337493772,"1835 Belotes Ferry Rd, Lebanon, TN 37087",599900,3.0,3.0,2750.0,36.297024,-86.31038,House for sale,SINGLE_FAMILY,80,,https://www.zillow.com/homedetails/1835-Belotes-Ferry-Rd-Lebanon-TN-37087/337493772_zpid/,False,False,1835 Belotes Ferry Rd,Lebanon,TN 37087,TN,37087,Tennessee
1813,42615817,"1009 Boxwood Dr, Franklin, TN 37069",699000,3.0,2.0,1608.0,36.01196,-86.892296,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/1009-Boxwood-Dr-Franklin-TN-37069/42615817_zpid/,False,False,1009 Boxwood Dr,Franklin,TN 37069,TN,37069,Tennessee
1814,456503934,"344 Emerald Blvd, Lebanon, TN 37087",225000,4.0,3.0,2272.0,36.24076,-86.437775,New construction,SINGLE_FAMILY,29,,https://www.zillow.com/homedetails/344-Emerald-Blvd-Lebanon-TN-37087/456503934_zpid/,False,False,344 Emerald Blvd,Lebanon,TN 37087,TN,37087,Tennessee
1815,338846564,"134 Jarnigan Chapel Rd, Clinton, TN 37716",225000,4.0,2.0,1813.0,36.10677,-84.14783,Coming soon,SINGLE_FAMILY,1,171800.0,https://www.zillow.com/homedetails/134-Jarnigan-Chapel-Rd-Clinton-TN-37716/338846564_zpid/,False,False,134 Jarnigan Chapel Rd,Clinton,TN 37716,TN,37716,Tennessee
1816,41358827,"3419 Rutledge Pike, Blaine, TN 37709",759900,2.0,1.0,1296.0,36.21092,-83.65219,House for sale,SINGLE_FAMILY,278,,https://www.zillow.com/homedetails/3419-Rutledge-Pike-Blaine-TN-37709/41358827_zpid/,False,False,3419 Rutledge Pike,Blaine,TN 37709,TN,37709,Tennessee
1817,42659206,"200 Westwood 4th Ave, McMinnville, TN 37110",549000,3.0,4.0,3740.0,35.67862,-85.79067,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/200-Westwood-4th-Ave-McMinnville-TN-37110/42659206_zpid/,False,False,200 Westwood 4th Ave,McMinnville,TN 37110,TN,37110,Tennessee
1818,64812926,"1534 Grand Cypress Dr, Collierville, TN 38017",675000,5.0,4.0,3761.0,35.08194,-89.69957,House for sale,SINGLE_FAMILY,2,657200.0,https://www.zillow.com/homedetails/1534-Grand-Cypress-Dr-Collierville-TN-38017/64812926_zpid/,False,False,1534 Grand Cypress Dr,Collierville,TN 38017,TN,38017,Tennessee
1819,41121473,"2849 Teakwood Dr, Nashville, TN 37214",296000,3.0,1.0,950.0,36.157223,-86.65894,House for sale,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/2849-Teakwood-Dr-Nashville-TN-37214/41121473_zpid/,False,False,2849 Teakwood Dr,Nashville,TN 37214,TN,37214,Tennessee
1820,70540741,"513 King Richards Ct, Franklin, TN 37067",15000000,7.0,10.0,14876.0,35.935493,-86.78333,House for sale,SINGLE_FAMILY,268,,https://www.zillow.com/homedetails/513-King-Richards-Ct-Franklin-TN-37067/70540741_zpid/,False,False,513 King Richards Ct,Franklin,TN 37067,TN,37067,Tennessee
1821,66950581,"1798 Northumberland Dr, Brentwood, TN 37027",1750000,4.0,4.0,4836.0,35.9502,-86.752396,Coming soon,SINGLE_FAMILY,6,,https://www.zillow.com/homedetails/1798-Northumberland-Dr-Brentwood-TN-37027/66950581_zpid/,False,False,1798 Northumberland Dr,Brentwood,TN 37027,TN,37027,Tennessee
1822,42378151,"699 Rock Bridge Rd, Gallatin, TN 37066",430000,3.0,3.0,2128.0,36.47489,-86.37181,House for sale,SINGLE_FAMILY,102,,https://www.zillow.com/homedetails/699-Rock-Bridge-Rd-Gallatin-TN-37066/42378151_zpid/,False,False,699 Rock Bridge Rd,Gallatin,TN 37066,TN,37066,Tennessee
1823,219751152,"29 Myers Rd, Summertown, TN 38483",199900,4.0,1.0,3595.0,35.437008,-87.36407,House for sale,SINGLE_FAMILY,332,,https://www.zillow.com/homedetails/29-Myers-Rd-Summertown-TN-38483/219751152_zpid/,False,False,29 Myers Rd,Summertown,TN 38483,TN,38483,Tennessee
1824,80337775,"201 Glenwood Dr, Goodlettsville, TN 37072",399900,3.0,2.0,3014.0,36.417995,-86.70695,House for sale,SINGLE_FAMILY,3,,https://www.zillow.com/homedetails/201-Glenwood-Dr-Goodlettsville-TN-37072/80337775_zpid/,False,False,201 Glenwood Dr,Goodlettsville,TN 37072,TN,37072,Tennessee
1825,41217361,"1360 Highway 49 E, Charlotte, TN 37036",325000,3.0,1.0,1100.0,36.197212,-87.29637,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/1360-Highway-49-E-Charlotte-TN-37036/41217361_zpid/,False,False,1360 Highway 49 E,Charlotte,TN 37036,TN,37036,Tennessee
1826,2054831747,"863 Novalis St Lot 229, Nolensville, TN 37135",924990,5.0,4.0,3093.0,35.90302,-86.65787,Coming soon,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/863-Novalis-St-LOT-229-Nolensville-TN-37135/2054831747_zpid/,False,False,863 Novalis St Lot 229,Nolensville,TN 37135,TN,37135,Tennessee
1827,41099895,"879 Carter St, Nashville, TN 37206",599900,3.0,3.0,1955.0,36.190098,-86.75561,Coming soon,SINGLE_FAMILY,2,,https://www.zillow.com/homedetails/879-Carter-St-Nashville-TN-37206/41099895_zpid/,False,False,879 Carter St,Nashville,TN 37206,TN,37206,Tennessee
1828,41544174,"1721 Taskigi Ct, Mooresburg, TN 37811",575000,2.0,3.0,1344.0,36.319946,-83.18636,House for sale,SINGLE_FAMILY,113,,https://www.zillow.com/homedetails/1721-Taskigi-Ct-Mooresburg-TN-37811/41544174_zpid/,False,False,1721 Taskigi Ct,Mooresburg,TN 37811,TN,37811,Tennessee
1829,41749995,"183 Amohi Way, Loudon, TN 37774",750000,4.0,3.0,3000.0,35.67873,-84.2783,House for sale,SINGLE_FAMILY,30,,https://www.zillow.com/homedetails/183-Amohi-Way-Loudon-TN-37774/41749995_zpid/,False,False,183 Amohi Way,Loudon,TN 37774,TN,37774,Tennessee
